"regiao"	"codigo_uf"	"uf"	"codigo_ibge"	"municipio"	"total"	"porcentagem"	"avaliados"	"abrangencia"	"ano"	"mes"	"faixa_etaria"	"sexo"	"raca_cor"	"povo_comunidade"	"escolaridade"	"povo"
"NORDESTE"	23	"CE"	230015	"ACARAPE"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230020	"ACARAU"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230030	"ACOPIARA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230040	"AIUABA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230050	"ALCANTARAS"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230060	"ALTANEIRA"	1	100	1	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230070	"ALTO SANTO"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230075	"AMONTADA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230080	"ANTONINA DO NORTE"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230090	"APUIARES"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230100	"AQUIRAZ"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230110	"ARACATI"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230120	"ARACOIABA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230125	"ARARENDA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230130	"ARARIPE"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230140	"ARATUBA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230160	"ASSARE"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230170	"AURORA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230180	"BAIXIO"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230185	"BANABUIU"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230190	"BARBALHA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230200	"BARRO"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230205	"BARROQUINHA"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
"NORDESTE"	23	"CE"	230210	"BATURITE"	0	NA	0	"Região (NORDESTE) - Estado (TODOS) - Município (TODOS)"	"2015"	"TODOS"	"Idosos"	"TODOS"	"TODOS"	"TODOS"	"TODOS"	"TODOS"
